<ID>;<Name>;ATPD_PICT_EUROFEUILLE;ATPD_PICT_AB_AGRI_BIO;photo_id;media_url
A0220060830000411524;AUCHAN BIO BOISSON SOJA VANILLE SOJA ORIGINE FRANCE BRIQ 1L;Oui;;MEDIASTEP81713475;https://media.auchan.fr/MEDIASTEP81713475_0x0/
A0220060830000411435;AUCHAN BIO BOISSON SOJA CHOCOLAT SOJA ORIGINE FRANCE BRI 1L;Oui;;MEDIASTEP81713474;https://media.auchan.fr/MEDIASTEP81713474_0x0/
A0220121212000535527;AUCHAN BIO BOISSON SOJA CALCIUM SOJA ORIGINE FRANCE BRIQ 1L;Oui;;MEDIASTEP66765255;https://media.auchan.fr/MEDIASTEP66765255_0x0/
A0220141030000538659;AUCHAN BIO BOISSON LAITAMANDES BRIQUE 1L;Oui;;MEDIASTEP68977683;https://media.auchan.fr/MEDIASTEP68977683_0x0/
A0220040426000603847;BIO BJORG BOISSON AMANDESINTENSE 1L;Oui;Oui;MEDIASTEP141130491;https://media.auchan.fr/MEDIASTEP141130491_0x0/
A0220071116000466494;BIO BJORG BOISSON DOUCEUREPEAUTRE 1L;Oui;Oui;MEDIASTEP140106888;https://media.auchan.fr/MEDIASTEP140106888_0x0/
A0220071116000471118;BIO BJORG BOISSON NOISETTES 1L;Oui;;MEDIASTEP141128772;https://media.auchan.fr/MEDIASTEP141128772_0x0/
A0220081003000736570;BIO BJORG BOISSON CHATAIGNE 1L;Oui;;MEDIASTEP143916349;https://media.auchan.fr/MEDIASTEP143916349_0x0/
A0220090211000400066;BIO BJORG BOISSON RIZ CALCIUM1L;Oui;Oui;MEDIASTEP147449038;https://media.auchan.fr/MEDIASTEP147449038_0x0/
A0220110117000365298;BIO BJORG EAU DE COCO 50CL;Oui;Oui;MEDIASTEP143922909;https://media.auchan.fr/MEDIASTEP143922909_0x0/
A0220110729000598299;BIO BJORG BOISSON EPEAUTRENOISETTE 1L;Oui;Oui;MEDIASTEP141129040;https://media.auchan.fr/MEDIASTEP141129040_0x0/
A0220120109000495023;BIO LOCAL BOISSON SOJA CALCIUM1L;Oui;Oui;MEDIASTEP58064023;https://media.auchan.fr/MEDIASTEP58064023_0x0/
A0220120109000365196;BIO LOCAL BOISSON SOJA NATURE1L;Oui;Oui;MEDIASTEP73378344;https://media.auchan.fr/MEDIASTEP73378344_0x0/
A0220130708000125695;BIO BJORG LAIT D AMANDECALCIUM 1L;Oui;;MEDIASTEP141130530;https://media.auchan.fr/MEDIASTEP141130530_0x0/
A0220140311000776104;AUCHAN BIO ANANAS MORCEAUX JUSANANAS BOCAL 310G;Oui;;MEDIASTEP57826072;https://media.auchan.fr/MEDIASTEP57826072_0x0/
A0220140408000406838;BIO BJORG LAIT D AMANDE SANSSUCRE 1L;Oui;;MEDIASTEP140598235;https://media.auchan.fr/MEDIASTEP140598235_0x0/
A0220140522000567632;BIO BJORG SOJA A BOIRE SSCALCIUM 2X1L+1L OFFERT;Oui;Oui;MEDIASTEP140271534;https://media.auchan.fr/MEDIASTEP140271534_0x0/
A0220140522000485719;BIO BJORG SOJA A BOIRE SSNATURE 2X1L+1L OFFERT;Oui;Oui;MEDIASTEP140271549;https://media.auchan.fr/MEDIASTEP140271549_0x0/
A0220141010000208482;BIO BJORG SOJA A BOIRE LEGER1L;Oui;Oui;MEDIASTEP143921120;https://media.auchan.fr/MEDIASTEP143921120_0x0/
A0220150917000468630;BIO BJORG BOISSON NATUREAVOINE CALCIUM 1L;Oui;Oui;MEDIASTEP140106719;https://media.auchan.fr/MEDIASTEP140106719_0x0/
A0220150917000738646;BIO BJORG DESSERT AMANDECHOCOLAT 50CL;Oui;Oui;MEDIASTEP143925478;https://media.auchan.fr/MEDIASTEP143925478_0x0/
A0220150917000657238;BIO BJORG LAIT AMANDECAPPUCCINO 1L;Oui;Oui;MEDIASTEP143925638;https://media.auchan.fr/MEDIASTEP143925638_0x0/
A0220160811000546549;BIO BJORG MINI SOJA CHOCOLATCALCIUM 3X25CL;Oui;Oui;MEDIASTEP141130607;https://media.auchan.fr/MEDIASTEP141130607_0x0/
A0220160811000300036;BIO BJORG SOJA CHOCOLATCALCIUM 1L;Oui;Oui;MEDIASTEP141130507;https://media.auchan.fr/MEDIASTEP141130507_0x0/
A0220160811000325810;BIO BJORG SOJA VANILLE CALCIUM1L;Oui;Oui;MEDIASTEP141131049;https://media.auchan.fr/MEDIASTEP141131049_0x0/
A0220160830000461436;BIO BJORG CHANVRE CALCIUM 1L;Oui;Oui;MEDIASTEP143889430;https://media.auchan.fr/MEDIASTEP143889430_0x0/
A0220160830000547022;BIO BJORG LAIT D AMANDE CHOCOLAT 3X20CL;Oui;;MEDIASTEP142084207;https://media.auchan.fr/MEDIASTEP142084207_0x0/
A0220160830000760487;BIO BJORG LAIT D AMANDE FRAISE3X20CL;Oui;Oui;MEDIASTEP143923798;https://media.auchan.fr/MEDIASTEP143923798_0x0/
A0220170125000429466;BIO BJORG BOISSON AMANDECALCIUM 2X1L;Oui;Oui;MEDIASTEP151300214;https://media.auchan.fr/MEDIASTEP151300214_0x0/
A0220170310000257784;BIO BJORG LAIT D AMANDE VANILLE 1L;Oui;;MEDIASTEP141130821;https://media.auchan.fr/MEDIASTEP141130821_0x0/
A0220170310000501153;BIO BJORG LAIT D AMANDE CHOCOLAT 1L;Oui;;MEDIASTEP141130438;https://media.auchan.fr/MEDIASTEP141130438_0x0/
A0220170313000074860;BIO BJORG BOISSON GOURM AMANDES NOISETTES 1L;Oui;Oui;MEDIASTEP141130394;https://media.auchan.fr/MEDIASTEP141130394_0x0/
A0220170313000378452;BIO BJORG BOISSON COCO 1L;Oui;;MEDIASTEP140106548;https://media.auchan.fr/MEDIASTEP140106548_0x0/
A0220170324000573772;BIO BJORG LAIT AMANDE CALCIUMLOT 2X1L+1L OFF;Oui;Oui;MEDIASTEP140272248;https://media.auchan.fr/MEDIASTEP140272248_0x0/
A0220170706000315141;BIO BJORG BOISSON AMANDE VANILLE 2L+1 OFF;Oui;Oui;MEDIASTEP140272285;https://media.auchan.fr/MEDIASTEP140272285_0x0/
A0220170911000424275;BIO BJORG SOJA VANILLE CALCIUM2L+1L OFFERT;Oui;Oui;MEDIASTEP147018218;https://media.auchan.fr/MEDIASTEP147018218_0x0/
A0220170911000518799;BIO BJORG SOJA CHOCOLAT CALCIUM 2X1L+1L OFF;Oui;Oui;MEDIASTEP147018434;https://media.auchan.fr/MEDIASTEP147018434_0x0/
A0220171103000436809;BIO BJORG BOISSON AVOINE CALCIUM LOT 2X1L;Oui;Oui;MEDIASTEP57977687;https://media.auchan.fr/MEDIASTEP57977687_0x0/
A0220171124000557729;BIO BJORG BOISSON RIZ AMANDE1L;Oui;Oui;MEDIASTEP141130468;https://media.auchan.fr/MEDIASTEP141130468_0x0/
A0220171229000794289;BIO BJORG LAIT D AMANDE CHOCOLAT LOT 2X1 L;Oui;Oui;MEDIASTEP151300190;https://media.auchan.fr/MEDIASTEP151300190_0x0/
A0220171229000478747;BIO BJORG LAIT D AMANDE VANILLE LOT 2X1 L;Oui;Oui;MEDIASTEP151300238;https://media.auchan.fr/MEDIASTEP151300238_0x0/
A0219930409000083061;BIO BJORG SOJA A BOIRE SSCALCIUM 1L;Oui;;MEDIASTEP141130586;https://media.auchan.fr/MEDIASTEP141130586_0x0/
A0219960524000084455;BIO BJORG BOISSON NATURE DERIZ 1L;Oui;Oui;MEDIASTEP156005133;https://media.auchan.fr/MEDIASTEP156005133_0x0/
A0219930409000083062;BIO BJORG SOJA A BOIRE SSNATURE 1L;Oui;;MEDIASTEP140598064;https://media.auchan.fr/MEDIASTEP140598064_0x0/
A0220180123000731842;BIO BJORG BOISSON AMANDES SANSSUCRE 2X1L+1L OFF;Oui;Oui;MEDIASTEP151370929;https://media.auchan.fr/MEDIASTEP151370929_0x0/
A0220180208000163445;BIO BJORG BOISSON LAIT AMANDECHOCOLAT 2X1L+1L OFF;Oui;Oui;MEDIASTEP140273527;https://media.auchan.fr/MEDIASTEP140273527_0x0/
A0220180223000331492;BIO LES MOUETTES D'ARVOR SARDINES AUX ALGUES  BRETAGNE 115G;Oui;;MEDIASTEP132036835;https://media.auchan.fr/MEDIASTEP132036835_0x0/
A0220180320000644690;BIO LES MOUETTES D ARVORFOIE DE MORUE AU CITRON 120G;Oui;;MEDIASTEP89503082;https://media.auchan.fr/MEDIASTEP89503082_0x0/
A0220180423000235678;BIOL DAUCY HARICOTS VERTS225 G;Oui;Oui;MEDIASTEP61368547;https://media.auchan.fr/MEDIASTEP61368547_0x0/
A0220180507000244513;BIOL ST MAMET POIRE 4/4 825G;Oui;Oui;MEDIASTEP106850291;https://media.auchan.fr/MEDIASTEP106850291_0x0/
A0220180509000518881;BIOL BONDUELLE MAIS 285G;Oui;Oui;MEDIASTEP79154722;https://media.auchan.fr/MEDIASTEP79154722_0x0/
A0220180517000777199;BIO BJORG LAIT AMANDE CALCIUM50CL;Oui;Oui;MEDIASTEP141130850;https://media.auchan.fr/MEDIASTEP141130850_0x0/
A0220180525000697926;BIO JARDIN PETITS POIS CAROTTE330G;Oui;Oui;MEDIASTEP70428816;https://media.auchan.fr/MEDIASTEP70428816_0x0/
A0220180627000438610;AUCHAN BIO BOISSON EPEAUTRE 1L;Oui;;MEDIASTEP66765273;https://media.auchan.fr/MEDIASTEP66765273_0x0/
A0220180627000427672;AUCHAN BIO BOISSON RIZ COCO 1L;Oui;;MEDIASTEP67374973;https://media.auchan.fr/MEDIASTEP67374973_0x0/
A0220180627000758156;AUCHAN BIO BOISSON VEGETALESSA AMANDE GOUT LEGER 1L;Oui;;MEDIASTEP66765274;https://media.auchan.fr/MEDIASTEP66765274_0x0/
A0220180727000311011;BIO ROCHEFONTAINE COEUR DEPALMIER BIO 220G;Oui;Oui;MEDIASTEP135548065;https://media.auchan.fr/MEDIASTEP135548065_0x0/
A0220180727000732115;BIO ROCHEFONTAINE ASPERGESMINIATURES 21CL 110G;Oui;Oui;MEDIASTEP148361574;https://media.auchan.fr/MEDIASTEP148361574_0x0/
A0220180809000336560;BIOL ALAIN MARTIN MOGETTESCUISINE A L ANCIENNE 800G;Oui;Oui;MEDIASTEP136156385;https://media.auchan.fr/MEDIASTEP136156385_0x0/
A0220180809000630008;BIOL ALAIN MARTIN LENTILLESCUISINES A L ANCIENNE 800G;Oui;Oui;MEDIASTEP136155868;https://media.auchan.fr/MEDIASTEP136155868_0x0/
A0220181022000452607;AUCHAN BIO HARICOTS VERTSCOUPES TRES FIN BOCAL 220G;Oui;;MEDIASTEP65801097;https://media.auchan.fr/MEDIASTEP65801097_0x0/
A0220181127000528908;BIOL BONDUELLE HARICOTS VERTS280G;;Oui;MEDIASTEP78672892;https://media.auchan.fr/MEDIASTEP78672892_0x0/
A0220190104000473502;BIOL BONDUELLE PETITS POIS58CL;;Oui;MEDIASTEP78672891;https://media.auchan.fr/MEDIASTEP78672891_0x0/
A0220190104000766645;BIOL BONDUELLE PETIT POISCAROTTES 58CL;;Oui;MEDIASTEP78672890;https://media.auchan.fr/MEDIASTEP78672890_0x0/
A0220190118000656480;BIO BJORG BOISSON COCO SANSSUCRES 1L;Oui;Oui;MEDIASTEP140597906;https://media.auchan.fr/MEDIASTEP140597906_0x0/
A0220190118000405013;BIO BJORG BOISSON CAJOU 1L;Oui;Oui;MEDIASTEP141128263;https://media.auchan.fr/MEDIASTEP141128263_0x0/
A0220190213000660380;BIOL BONDUELLE POIS CHICHES340G;;Oui;MEDIASTEP74975028;https://media.auchan.fr/MEDIASTEP74975028_0x0/
A0220190222000599507;BIOL BONDUELLE CHAMPIGNONSEMINCES 230G;Oui;Oui;MEDIASTEP104200761;https://media.auchan.fr/MEDIASTEP104200761_0x0/
A0220190305000546648;BIO PARALLELES SAUMON SAUVAGEMSC AU NATUREL 120G;Oui;;MEDIASTEP140279253;https://media.auchan.fr/MEDIASTEP140279253_0x0/
A0220190305000215807;BIO PARALLELES SAUMON SAUVAGEA L ANETH 120G;Oui;;MEDIASTEP140279265;https://media.auchan.fr/MEDIASTEP140279265_0x0/
A0220190305000128820;BIO PARALLELES FILETS DE SARDINES MSC H OLIVE ET ALGUES 105G;Oui;;MEDIASTEP140279278;https://media.auchan.fr/MEDIASTEP140279278_0x0/
A0220190418000497529;REG BIO LES COMTES DE PROVENCEPECHES AU SIROP 380G;Oui;Oui;MEDIASTEP71216621;https://media.auchan.fr/MEDIASTEP71216621_0x0/
A0220190418000995220;REG BIO LES COMTES DE PROVENCEPOIRES AU SIROP 380G;Oui;Oui;MEDIASTEP71216600;https://media.auchan.fr/MEDIASTEP71216600_0x0/
A0220190426000474891;AUC BIO HARICOTS VERTS COUPESBOCAL 660G;Oui;;MEDIASTEP67195207;https://media.auchan.fr/MEDIASTEP67195207_0x0/
P02000000000BDC;REG BIO EDERKI BONITE HUILED OLIVE VIERGE EXTRA 111G;Oui;;MEDIASTEP74652576;https://media.auchan.fr/MEDIASTEP74652576_0x0/
P02000000000BG9;REG BIO EDERKI FILET MAQUERA HUILE OLIVE VE 85G;Oui;;MEDIASTEP126473024;https://media.auchan.fr/MEDIASTEP126473024_0x0/
P02000000000BGX;REG BIO EDERKI SARDINES HU OLIVIERGE EXTRA 120G;Oui;;MEDIASTEP74124618;https://media.auchan.fr/MEDIASTEP74124618_0x0/
P02000000000BGU;REG BIO EDERKI CALAMARS AUCEAMERICAINE 111G;Oui;;MEDIASTEP74652577;https://media.auchan.fr/MEDIASTEP74652577_0x0/
P02000000000BQL;BIO ROCHEFONTAINE TOMATES CONCASSES DE PROVENCE BOCAL 350G;Oui;Oui;MEDIASTEP138426693;https://media.auchan.fr/MEDIASTEP138426693_0x0/
P02000000000BWY;BIO JARDIN MAIS SANS SEL AJOUT300G;Oui;Oui;MEDIASTEP72587814;https://media.auchan.fr/MEDIASTEP72587814_0x0/
P02000000000BX3;BIO ROCHEFONTAINE ASPERGESVERTES MINIATURE 190G;Oui;Oui;MEDIASTEP72587707;https://media.auchan.fr/MEDIASTEP72587707_0x0/
P02000000000BX0;BIO NATURENVIE HARICOTS VERTSEXTRA FINS SS SEL AJOUTE 330G;Oui;Oui;MEDIASTEP105961462;https://media.auchan.fr/MEDIASTEP105961462_0x0/
P02000000000C77;BIO ROCHEFONTAINE HARICOTSVERTS EXTRA FINS RANGES 280G;Oui;Oui;MEDIASTEP89503072;https://media.auchan.fr/MEDIASTEP89503072_0x0/
P02000000000DBK;BIO PAYSANS D ICI LENTILLESVERTES ANICIA FRANCE 500G;Oui;Oui;MEDIASTEP157947423;https://media.auchan.fr/MEDIASTEP157947423_0x0/
P02000000000DBS;REG BIO CHRIST MOGETTES CAROTTES ET AIL 340G;Oui;Oui;MEDIASTEP97933814;https://media.auchan.fr/MEDIASTEP97933814_0x0/
P02000000000DFU;BIO ROCHEFONTAINE TOMATES CONCASSEES PROVENCE BASILIC 350G;Oui;Oui;MEDIASTEP110225343;https://media.auchan.fr/MEDIASTEP110225343_0x0/
P02000000000EAA;DELIS VEGGIE SANS FOIE NI OIE150G;Oui;Oui;MEDIASTEP90920141;https://media.auchan.fr/MEDIASTEP90920141_0x0/
P02000000000FGB;BIOL D AUCY LENTILLES CUISINEES AUX CAROTTES OIGNONS 530G;Oui;Oui;MEDIASTEP92859280;https://media.auchan.fr/MEDIASTEP92859280_0x0/
P02000000000FFH;BIOL D AUCY HARICOTS VERTSGRAINES DE COURGE 290G;Oui;Oui;MEDIASTEP133099492;https://media.auchan.fr/MEDIASTEP133099492_0x0/
P02000000000FFK;BIOL DAUCY POIS CHICHE AUNATUREL SS SEL AJOUTE 340G;Oui;Oui;MEDIASTEP82431327;https://media.auchan.fr/MEDIASTEP82431327_0x0/
P02000000000FFB;BIOL D AUCY  RATATOUILLECUISINEE A L HUILE OLIVE 530G;Oui;Oui;MEDIASTEP92859279;https://media.auchan.fr/MEDIASTEP92859279_0x0/
P02000000000FGL;BIOL D AUCY PETITS POISLAURIER OIGNONS 340G;Oui;Oui;MEDIASTEP82553674;https://media.auchan.fr/MEDIASTEP82553674_0x0/
P02000000000FGP;BIOL DAUCY DUO HARICOTS VERTSBEURRE SANS SEL AJOUTE 290G;Oui;Oui;MEDIASTEP82553672;https://media.auchan.fr/MEDIASTEP82553672_0x0/
P02000000000FQ5;AUC BIO MAIS BOITE 2X140G;Oui;;MEDIASTEP89871904;https://media.auchan.fr/MEDIASTEP89871904_0x0/
P02000000000FFY;BIOL DAUCY HARICOTS VERTS  AUNATUREL SANS SEL AJOUTE 290G;Oui;Oui;MEDIASTEP82553673;https://media.auchan.fr/MEDIASTEP82553673_0x0/
P02000000000FRB;BIOL DAUCY CAROTTES GRAINES CUMIN PERSIL 305G;;;MEDIASTEP82553675;https://media.auchan.fr/MEDIASTEP82553675_0x0/
P02000000000IMH;BIO BJORG BOISSON RIZ CHOCONOISETTE 1L;Oui;;MEDIASTEP143923145;https://media.auchan.fr/MEDIASTEP143923145_0x0/
P02000000000JJI;BIO BJORG MIJOTE COURGETTES &TOMATES AIL DES OURS 630G;Oui;Oui;MEDIASTEP138892068;https://media.auchan.fr/MEDIASTEP138892068_0x0/
P02000000000JJH;BIO BJORG MIJOTES LEGUMES ETLAIT DE COCO 630G;Oui;Oui;MEDIASTEP138891959;https://media.auchan.fr/MEDIASTEP138891959_0x0/
P02000000000KV7;BIO BJORG BOISSON COCO FRAICHEUR 1L;Oui;Oui;MEDIASTEP143912180;https://media.auchan.fr/MEDIASTEP143912180_0x0/
P02000000000KVH;BIO BJORG LAIT AMANDE SSA 3X25CL;Oui;Oui;MEDIASTEP143910841;https://media.auchan.fr/MEDIASTEP143910841_0x0/
P02000000000L88;BIO PARALLELES SPRATS FUMES DERIGA AU CITRON 120G;Oui;;MEDIASTEP81873091;https://media.auchan.fr/MEDIASTEP81873091_0x0/
P02000000000LWV;BIO MOUETTES ARVOR SARDINESSANS ARETES HUILE 120G;Oui;;MEDIASTEP135734055;https://media.auchan.fr/MEDIASTEP135734055_0x0/
P02000000000MPB;BIOL ST MAMET PECHES 825G;Oui;Oui;MEDIASTEP91097669;https://media.auchan.fr/MEDIASTEP91097669_0x0/
P02000000000OHA;JARDIN BIO HARICOTS VERTS LOT2X660G + 1 OFFERT;;Oui;MEDIASTEP140054123;https://media.auchan.fr/MEDIASTEP140054123_0x0/
P02000000000OVI;AUCHAN BIO BOISSON SOJA VANILLE SOJA ORIGINE FRANCE 3X25CL;Oui;;MEDIASTEP89766018;https://media.auchan.fr/MEDIASTEP89766018_0x0/
P02000000000OVY;AUCHAN BIO BOISSON SOJA CHOCOLAT SOJA ORIGINE FRANCE 3X25CL;Oui;;MEDIASTEP89766017;https://media.auchan.fr/MEDIASTEP89766017_0x0/
P02000000000TWR;BIOL ST MAMET CUP PECHE PLAISIR DE FRUITS 2X 113G;Oui;;MEDIASTEP139613175;https://media.auchan.fr/MEDIASTEP139613175_0x0/
P02000000000TY9;BIO BJORG BOISSON EPEAUTRECALCIUM 2X1L+1L OFFERT;Oui;Oui;MEDIASTEP138873281;https://media.auchan.fr/MEDIASTEP138873281_0x0/
P02000000000TY8;BIO BJORG BOISSON AVOINECALCIUM 2X1L+1L OFFERT;Oui;Oui;MEDIASTEP138873295;https://media.auchan.fr/MEDIASTEP138873295_0x0/
P02000000000TYQ;BIO BJORG BOISSON COCO 2X1L+1L OFFERT;Oui;Oui;MEDIASTEP138873311;https://media.auchan.fr/MEDIASTEP138873311_0x0/
P02000000000U1Q;BIOL DAUCY LENTILLES CUISINEESAUX CAROTTES ET OIGNONS 330G;Oui;Oui;MEDIASTEP102865167;https://media.auchan.fr/MEDIASTEP102865167_0x0/
P02000000000U1T;BIOL DAUCY POIS CHICHES AU NATUREL SS AJOUTE 215G;Oui;Oui;MEDIASTEP102865166;https://media.auchan.fr/MEDIASTEP102865166_0x0/
P02000000000V3T;REG BIO BONJ CAMP LENTILLESCUISINES 410G;Oui;Oui;MEDIASTEP111265641;https://media.auchan.fr/MEDIASTEP111265641_0x0/
P02000000000V3S;REG BIO BONJ CAMP LENTILLESVERTES 350G;Oui;Oui;MEDIASTEP114168532;https://media.auchan.fr/MEDIASTEP114168532_0x0/
P02000000000V8W;BIOL BONDUELLE MAIS SWEET 2X140G CARTONNETTE;Oui;Oui;MEDIASTEP110225201;https://media.auchan.fr/MEDIASTEP110225201_0x0/
P02000000000Z1F;BIOL D AUCY POIS EN CONVERSION58CL SOIT 340G;;Oui;MEDIASTEP154745514;https://media.auchan.fr/MEDIASTEP154745514_0x0/
P020000000010ON;BIO BJORG BOISSON AVOINE SANSSUCRE 1L;Oui;Oui;MEDIASTEP143909983;https://media.auchan.fr/MEDIASTEP143909983_0x0/
P020000000010QG;BJORG BOISSON OUI AU VEGETAL1L;Oui;Oui;MEDIASTEP143908212;https://media.auchan.fr/MEDIASTEP143908212_0x0/
P020000000011TV;BIO MAIS 1 2X2 LOT FAMILIAL2X300G;Oui;Oui;MEDIASTEP136186074;https://media.auchan.fr/MEDIASTEP136186074_0x0/
P02000000001267;BIO TERRES ET CEREALESBOISSON D AVOINE 1L TCAB;Oui;Oui;MEDIASTEP133363172;https://media.auchan.fr/MEDIASTEP133363172_0x0/
P0200000000129H;BIO TERRES ET CEREALESBOISSON DE RIZ 1L TCAB;Oui;Oui;MEDIASTEP135735305;https://media.auchan.fr/MEDIASTEP135735305_0x0/
P020000000012GT;BIOL PLAISIR DE FRUITSPECHE POIRE 2X113G;Oui;Oui;MEDIASTEP133773761;https://media.auchan.fr/MEDIASTEP133773761_0x0/
P020000000015CL;BIO JARDIN BIOLOGIQUE POISCHICHES POIVRE 80 G;Oui;Oui;MEDIASTEP139215984;https://media.auchan.fr/MEDIASTEP139215984_0x0/
P020000000015D0;BIO JARDIN BIOLOGIQUE POISCHICHES SANS GLUTEN 660 G;Oui;Oui;MEDIASTEP155253750;https://media.auchan.fr/MEDIASTEP155253750_0x0/
P020000000015DU;BIO JARDIN BIOLOGIQUE POISCHICHES TOMATE ORIGAN 80 G;Oui;Oui;MEDIASTEP140794312;https://media.auchan.fr/MEDIASTEP140794312_0x0/
A0220050613000451763;BIO CAUVIN HUILE D'ARGAN 25CL;Oui;;MEDIASTEP74295845;https://media.auchan.fr/MEDIASTEP74295845_0x0/
A0220060208000086795;BIO SOLEOU HUILE EXTRA VIERGE75CL;Oui;Oui;MEDIASTEP89765988;https://media.auchan.fr/MEDIASTEP89765988_0x0/
A0220060523000629523;BIO JARDIN SPAGHETTI QUINOASARRASIN 500G;Oui;Oui;MEDIASTEP130374936;https://media.auchan.fr/MEDIASTEP130374936_0x0/
A0220060523000629903;BIO JARDIN LENTILLES CORAIL500G;Oui;Oui;MEDIASTEP57470474;https://media.auchan.fr/MEDIASTEP57470474_0x0/
A0220060621000672978;BIO ALTER ECO RIZ THAIBLANC JASMIN 500 G;Oui;Oui;MEDIASTEP140599993;https://media.auchan.fr/MEDIASTEP140599993_0x0/
A0220060626000674532;AICHA HUILE ARGAN VIERGE EXTRA25CL;Oui;Oui;MEDIASTEP78073019;https://media.auchan.fr/MEDIASTEP78073019_0x0/
A0220060619000672241;BIO JARDIN SPAGHETTI QUINOATOMATE 500 G;Oui;;MEDIASTEP122355133;https://media.auchan.fr/MEDIASTEP122355133_0x0/
A0220060825000430473;AUCHAN BIOD SPAGHETTI 500 G;Oui;;MEDIASTEP57468238;https://media.auchan.fr/MEDIASTEP57468238_0x0/
A0220060828000430012;AUCHAN BIOD MOUTARDE DE DIJON200G;Oui;;MEDIASTEP57468832;https://media.auchan.fr/MEDIASTEP57468832_0x0/
A0220060830000430038;AUCHAN BIOD RIZ SEMI COMPLET500G;Oui;;MEDIASTEP101791428;https://media.auchan.fr/MEDIASTEP101791428_0x0/
A0220060830000404469;AUCHAN BIOD COUSCOUS SEMICOMPLET 500G;Oui;;MEDIASTEP96656230;https://media.auchan.fr/MEDIASTEP96656230_0x0/
A0220060830000430031;AUCHAN BIOD RIZ BASMATI 500G;Oui;Oui;MEDIASTEP81118898;https://media.auchan.fr/MEDIASTEP81118898_0x0/
A0220060830000404468;AUCHAN BIOD QUINOA 500G;Oui;;MEDIASTEP92860305;https://media.auchan.fr/MEDIASTEP92860305_0x0/
A0220060830000404471;AUCHAN BIOD LENTILLES VERTES500G;Oui;;MEDIASTEP92860302;https://media.auchan.fr/MEDIASTEP92860302_0x0/
A0220060830000428197;AUCHAN BIOD BOULGOUR 500G;Oui;Oui;MEDIASTEP57466907;https://media.auchan.fr/MEDIASTEP57466907_0x0/
A0220060825000405093;AUCHAN BIOD COQUILLETTES 500 G;Oui;;MEDIASTEP159533692;https://media.auchan.fr/MEDIASTEP159533692_0x0/
A0220060825000430477;AUCHAN BIO TAGLIATELLES AUXOEUFS FRAIS 250G;Oui;;MEDIASTEP133062024;https://media.auchan.fr/MEDIASTEP133062024_0x0/
A0220060825000430505;AUCHAN BIOD TORSADE AU BLEENTIER 500G;Oui;;MEDIASTEP57468234;https://media.auchan.fr/MEDIASTEP57468234_0x0/
A0220060828000429949;AUCHAN BIOD VINAIGRE CIDRE50CL;Oui;;MEDIASTEP97958721;https://media.auchan.fr/MEDIASTEP97958721_0x0/
A0220060829000850361;AUCHAN BIOD SAUCE TOMATEBASILIC 200G;Oui;;MEDIASTEP71210695;https://media.auchan.fr/MEDIASTEP71210695_0x0/
A0220061221000414495;BIO EQI ETHIQUABLE CHIPS BANANE PLANTAIN SALEES 85G;Oui;Oui;MEDIASTEP141754271;https://media.auchan.fr/MEDIASTEP141754271_0x0/
A0220070619000498064;BIO EQI ETHIQUABLE CHIPSBANANE PLANTAIN FRUITEES 85G;Oui;Oui;MEDIASTEP136264010;https://media.auchan.fr/MEDIASTEP136264010_0x0/
A0220080319000075377;BIO ROBERT HUILE D OLIVE 75CL;Oui;;MEDIASTEP79641057;https://media.auchan.fr/MEDIASTEP79641057_0x0/
A0220080529000550319;BIO JARDIN D ORANTE SAUCESALADE DIJONNAISE  50CL;Oui;Oui;MEDIASTEP74652480;https://media.auchan.fr/MEDIASTEP74652480_0x0/
A0220080522000214034;AUCHAN BIOD VINAIGREBALSAMIQUE 50CL;Oui;;MEDIASTEP140071629;https://media.auchan.fr/MEDIASTEP140071629_0x0/
A0220080326000455584;AUCHAN BIO TERRINE FOIE VOLAILLE COGNAC 180G;Oui;;MEDIASTEP57467811;https://media.auchan.fr/MEDIASTEP57467811_0x0/
A0220080326000779725;AUCHAN BIO TERRINE CAMPAGNE180G;Oui;;MEDIASTEP57467813;https://media.auchan.fr/MEDIASTEP57467813_0x0/
A0220080422000433419;AUCHAN BIO MELANGE CEREALESLEGUMES 500G;Oui;;MEDIASTEP57466631;https://media.auchan.fr/MEDIASTEP57466631_0x0/
A0220080523000472761;BIO SOLEOU HUILE D'OLIVETETRA PRISMA 1L;;Oui;MEDIASTEP89765989;https://media.auchan.fr/MEDIASTEP89765989_0x0/
A0220090105000597652;AUCHAN BIO GRAINES DE LIN BRUN250G;Oui;;MEDIASTEP57466909;https://media.auchan.fr/MEDIASTEP57466909_0x0/
A0220090105000785349;AUCHAN BIO GRAINES DE SESAME250G;Oui;;MEDIASTEP57466899;https://media.auchan.fr/MEDIASTEP57466899_0x0/
A0220090608000660103;BIO NOIX CAJOU CRUES 100G;Oui;;MEDIASTEP104202237;https://media.auchan.fr/MEDIASTEP104202237_0x0/
A0220090608000660121;BIO PISTACHES GRILLEES SALEES100G;Oui;;MEDIASTEP105961448;https://media.auchan.fr/MEDIASTEP105961448_0x0/
A0220090608000628863;BIO AMANDES DECORTIQUEES100G;Oui;;MEDIASTEP132036925;https://media.auchan.fr/MEDIASTEP132036925_0x0/
A0220091009000762820;AUCHAN BIOD FARFALLE COMPLET500G;Oui;;MEDIASTEP166405061;https://media.auchan.fr/MEDIASTEP166405061_0x0/
